[0.036s] Invoking command in '/home/gy/Omron_TM_ROS2/build/tm_description': /usr/bin/cmake /home/gy/Omron_TM_ROS2/tm_models -DCATKIN_INSTALL_INTO_PREFIX_ROOT=0 -DCMAKE_INSTALL_PREFIX=/home/gy/Omron_TM_ROS2/install/tm_description
[0.158s] -- Found ament_cmake: 0.9.8 (/opt/ros/foxy/share/ament_cmake/cmake)
[0.373s] -- Found PythonInterp: /usr/bin/python3 (found suitable version "3.8.5", minimum required is "3") 
[0.373s] -- Using PYTHON_EXECUTABLE: /usr/bin/python3
[1.475s] -- Configuring done
[1.484s] -- Generating done
[1.494s] -- Build files have been written to: /home/gy/Omron_TM_ROS2/build/tm_description
[1.710s] Invoked command in '/home/gy/Omron_TM_ROS2/build/tm_description' returned '0': /usr/bin/cmake /home/gy/Omron_TM_ROS2/tm_models -DCATKIN_INSTALL_INTO_PREFIX_ROOT=0 -DCMAKE_INSTALL_PREFIX=/home/gy/Omron_TM_ROS2/install/tm_description
[1.717s] Invoking command in '/home/gy/Omron_TM_ROS2/build/tm_description': /usr/bin/cmake --build /home/gy/Omron_TM_ROS2/build/tm_description -- -j3 -l3
[1.857s] Invoked command in '/home/gy/Omron_TM_ROS2/build/tm_description' returned '0': /usr/bin/cmake --build /home/gy/Omron_TM_ROS2/build/tm_description -- -j3 -l3
[1.963s] Invoking command in '/home/gy/Omron_TM_ROS2/build/tm_description': /usr/bin/cmake --install /home/gy/Omron_TM_ROS2/build/tm_description
[1.980s] -- Install configuration: ""
[1.980s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/ament_index/resource_index/package_run_dependencies/tm_description
[1.985s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/ament_index/resource_index/parent_prefix_path/tm_description
[1.985s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/environment/ament_prefix_path.sh
[1.992s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/environment/ament_prefix_path.dsv
[1.992s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/environment/path.sh
[1.993s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/environment/path.dsv
[1.996s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/local_setup.bash
[1.996s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/local_setup.sh
[1.996s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/local_setup.zsh
[1.996s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/local_setup.dsv
[1.996s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/package.dsv
[1.996s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/ament_index/resource_index/packages/tm_description
[1.997s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/cmake/tm_descriptionConfig.cmake
[1.997s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/cmake/tm_descriptionConfig-version.cmake
[1.997s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/package.xml
[1.997s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/launch
[1.997s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/launch/view_robot.rviz
[1.997s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/launch/view_tm12.launch
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/launch/tm12_upload.launch
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log/build_2021-04-20_09-21-56
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log/build_2021-04-20_09-21-56/events.log
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log/build_2021-04-20_09-21-56/logger_all.log
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log/COLCON_IGNORE
[1.998s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log/latest
[1.999s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/log/latest_build
[1.999s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/tm5_700_robot.urdf.xacro
[1.999s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/tm.transmission.xacro
[1.999s] -- Installing: /home/gy/Omron_TM_ROS2/install/tm_description/share/tm_description/urdf/tm12.urdf.xacro
